ensemble,form,starting_class,item_id,dimensions,perturbation_trials,family_flips,family_flip_rate,posture_flips,posture_flip_rate,routing_flips,routing_flip_rate,full_archetype_flips,full_archetype_flip_rate,mean_dimension_l1,max_dimension_l1,omission_trials,omission_full_archetype_flip_rate,neutralisation_trials,neutralisation_full_archetype_flip_rate
boundaryFocused,targeted:institutionalist|constructivist,blend,v21_in_rev_03,institutions,144,64,0.444444,0,0,108,0.75,115,0.798611,0.268472,1.28,39,0.769231,39,0.820513
boundaryFocused,targeted:institutionalist|constructivist,blend,v21_ni_rev_05,normsIdentity,150,75,0.5,0,0,111,0.74,121,0.806667,0.355467,1.37,39,0.769231,39,0.769231
boundaryFocused,targeted:institutionalist|constructivist,blend,v21_pe_rev_02,politicalEconomy,143,47,0.328671,0,0,47,0.328671,58,0.405594,0.334196,1.4,39,0.461538,39,0.384615
boundaryFocused,targeted:institutionalist|constructivist,blend,v21_rs_rev_04,restraint,151,61,0.403974,16,0.10596,25,0.165563,47,0.311258,0.187417,0.46,39,0.487179,39,0.333333
boundaryFocused,targeted:institutionalist|constructivist,blend,v21_sc_rev_02,securityCompetition,145,62,0.427586,0,0,48,0.331034,59,0.406897,0.307172,1.09,39,0.512821,39,0.435897
boundaryFocused,targeted:institutionalist|constructivist,pure,an_case_digital_stack,institutions|normsIdentity|politicalEconomy|restraint|securityCompetition,75,24,0.32,2,0.026667,17,0.226667,33,0.44,0.808667,1.63,0,0,0,0
boundaryFocused,targeted:institutionalist|constructivist,pure,an_case_intervention_memory,domesticFilters|institutions|normsIdentity|orderJustice|restraint,75,11,0.146667,1,0.013333,17,0.226667,23,0.306667,0.848933,1.97,0,0,0,0
boundaryFocused,targeted:institutionalist|constructivist,pure,an_tradeoff_tech_order,institutions|normsIdentity|orderJustice|politicalEconomy|restraint|securityCompetition,75,27,0.36,1,0.013333,22,0.293333,40,0.533333,0.862933,1.49,0,0,0,0
boundaryFocused,targeted:institutionalist|constructivist,pure,case_semiconductors,institutions|normsIdentity|politicalEconomy|restraint|securityCompetition,75,35,0.466667,5,0.066667,19,0.253333,44,0.586667,1.087467,1.95,0,0,0,0
boundaryFocused,targeted:institutionalist|constructivist,pure,df1,domesticFilters,88,25,0.284091,0,0,19,0.215909,31,0.352273,0.764091,3,25,0.44,25,0.4
