ensemble,form,form_group,starting_class,base_vectors,answer_perturbation_trials,primary_family_flip_rate,posture_flip_rate,pure_blend_transition_rate,full_archetype_flip_rate,pure_to_blend_rate,blend_to_pure_rate,median_item_influence,maximum_item_influence,maximum_influence_item,top_flip_item,top_item_flip_concentration,top_two_item_flip_concentration,top_flip_dimension,top_dimension_flip_concentration,masked_family_flip_rate,amplified_archetype_flip_rate,omission_full_archetype_flip_rate,neutralisation_full_archetype_flip_rate,direct_posture_dimension_trials,direct_posture_dimension_flip_rate,diagnostic_item_rows
boundaryFocused,targeted:realist|constructivist,targeted,blend,44,2961,0.436001,0.045255,0.355961,0.505572,0,0.355961,0.360248,0.962121,an_tradeoff_rival,sc2,0.08684,0.173013,securityCompetition,0.218451,0.194529,0.2641,0.483766,0.472403,88,0.034091,19
boundaryFocused,targeted:realist|criticalPoliticalEconomy,targeted,all,64,4307,0.362433,0.03831,0.423032,0.509635,0.06501,0.358022,0.489627,0.765625,tradeoff_strategy,sc2,0.076082,0.148519,securityCompetition,0.176046,0.130253,0.277455,0.521205,0.504464,128,0,38
boundaryFocused,targeted:realist|criticalPoliticalEconomy,targeted,pure,18,1206,0.166667,0.053897,0.232172,0.342454,0.232172,0,0.304348,0.703704,tradeoff_strategy,tradeoff_strategy,0.09201,0.171913,restraint,0.207171,0,0.175788,0.333333,0.297619,36,0,19
boundaryFocused,targeted:realist|criticalPoliticalEconomy,targeted,blend,46,3101,0.438568,0.032248,0.497259,0.574653,0,0.497259,0.552326,0.855072,tradeoff_interdependence,sc2,0.081369,0.156566,politicalEconomy,0.180202,0.180909,0.316995,0.59472,0.585404,92,0,19
boundaryFocused,targeted:institutionalist|constructivist,targeted,all,64,4307,0.342001,0.025308,0.372881,0.472254,0.072208,0.300673,0.485106,0.75,case_semiconductors,ni2,0.076205,0.152409,institutions,0.196401,0.096587,0.22684,0.460938,0.43192,128,0.007813,38
boundaryFocused,targeted:institutionalist|constructivist,targeted,pure,25,1680,0.1625,0.019643,0.185119,0.291667,0.185119,0,0.273684,0.586667,case_semiconductors,case_semiconductors,0.089796,0.171429,restraint,0.198795,0,0.129167,0.291429,0.254286,50,0,19
boundaryFocused,targeted:institutionalist|constructivist,targeted,blend,39,2627,0.456795,0.02893,0.492958,0.587743,0,0.492958,0.678322,0.854701,an_case_digital_stack,v21_ni_rev_05,0.078368,0.154793,institutions,0.204407,0.158356,0.289303,0.569597,0.545788,78,0.012821,19
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,targeted,all,64,4307,0.350128,0.023682,0.354075,0.462271,0.090086,0.263989,0.48927,0.75,an_case_rising_power_voice,in2,0.074837,0.147162,institutions,0.218123,0.121198,0.233341,0.466518,0.4375,128,0,38
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,targeted,pure,24,1613,0.16615,0.015499,0.240546,0.3292,0.240546,0,0.322222,0.527778,an_case_rising_power_voice,an_case_rising_power_voice,0.071563,0.143126,institutions,0.198339,0,0.16305,0.318452,0.294643,48,0,19
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,targeted,blend,40,2694,0.460282,0.028582,0.422049,0.541945,0,0.422049,0.575342,0.883333,an_case_rising_power_voice,in2,0.081507,0.15411,institutions,0.225381,0.193764,0.275427,0.555357,0.523214,80,0,19
boundaryFocused,targeted:constructivist|criticalPoliticalEconomy,targeted,all,64,4305,0.363066,0.032056,0.425784,0.520093,0.065505,0.360279,0.533058,0.739496,v21_ni_rev_05,v21_ni_rev_05,0.078607,0.15364,institutions,0.203673,0.115215,0.272242,0.537946,0.508929,128,0.023438,38
boundaryFocused,targeted:constructivist|criticalPoliticalEconomy,targeted,pure,19,1276,0.182602,0.016458,0.221003,0.3221,0.221003,0,0.328571,0.526316,an_case_green_finance,an_case_green_finance,0.072993,0.143552,institutions,0.198187,0,0.139498,0.338346,0.304511,38,0.026316,19
boundaryFocused,targeted:constructivist|criticalPoliticalEconomy,targeted,blend,45,3029,0.439089,0.038627,0.51205,0.6035,0,0.51205,0.62963,0.885542,v21_ni_rev_05,ni2,0.080963,0.161379,institutions,0.204911,0.16375,0.328161,0.622222,0.595238,90,0.022222,19
boundaryFocused,fullExtended,full,all,64,11075,0.245598,0.017607,0.186456,0.231603,0.111061,0.075395,0.181189,0.572917,an_tradeoff_rival,an_tradeoff_rival,0.042885,0.08577,institutions,0.213448,0.160993,0.146998,0.270089,0.222098,128,0,136
boundaryFocused,fullExtended,full,pure,31,5356,0.051531,0.011949,0.229649,0.247946,0.229649,0,0.264819,0.430108,case_semiconductors,case_semiconductors,0.03012,0.059488,institutions,0.205255,0,0.196415,0.269585,0.223502,62,0,68
boundaryFocused,fullExtended,full,blend,33,5719,0.427347,0.022906,0.146005,0.216297,0,0.146005,0.1069975,0.727273,an_tradeoff_rival,an_tradeoff_rival,0.058205,0.114794,institutions,0.220206,0.311768,0.100717,0.270563,0.220779,66,0,68
canonical,core,core,all,16,896,0.008929,0,0.040179,0.040179,0.015625,0.024554,0.03125,0.078125,in2,in2,0.138889,0.277778,institutions,0.277778,0.006696,0.037946,0.008929,0.071429,32,0,28
canonical,core,core,pure,15,840,0.002381,0,0.016667,0.016667,0.016667,0,0,0.066667,in2,in2,0.285714,0.571429,institutions,0.571429,0,0.014286,0,0.038095,30,0,14
canonical,core,core,blend,1,56,0.107143,0,0.392857,0.392857,0,0.392857,0.5,0.75,oj1,oj1,0.136364,0.272727,orderJustice,0.227273,0.107143,0.392857,0.142857,0.571429,2,0,14
canonical,targeted:realist|institutionalist,targeted,all,16,1136,0,0.014085,0.002641,0.016725,0.002641,0,0,0.15625,v21_rs_rev_04,v21_rs_rev_04,0.526316,0.842105,restraint,0.653846,0,0.016725,0.026786,0.026786,32,0,19
canonical,targeted:realist|institutionalist,targeted,pure,16,1136,0,0.014085,0.002641,0.016725,0.002641,0,0,0.15625,v21_rs_rev_04,v21_rs_rev_04,0.526316,0.842105,restraint,0.653846,0,0.016725,0.026786,0.026786,32,0,19
canonical,targeted:realist|institutionalist,targeted,blend,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0
canonical,targeted:realist|constructivist,targeted,all,16,1136,0.00088,0,0.009683,0.009683,0.009683,0,0,0.0625,an_tradeoff_rival,an_tradeoff_rival,0.272727,0.454545,institutions,0.3,0,0.008803,0,0.008929,32,0,19
canonical,targeted:realist|constructivist,targeted,pure,16,1136,0.00088,0,0.009683,0.009683,0.009683,0,0,0.0625,an_tradeoff_rival,an_tradeoff_rival,0.272727,0.454545,institutions,0.3,0,0.008803,0,0.008929,32,0,19
canonical,targeted:realist|constructivist,targeted,blend,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0
canonical,targeted:realist|criticalPoliticalEconomy,targeted,all,16,1136,0.00088,0.013204,0.005282,0.018486,0.005282,0,0,0.109375,v21_rs_rev_04,v21_rs_rev_04,0.333333,0.47619,restraint,0.355556,0,0.017606,0.017857,0.026786,32,0,19
canonical,targeted:realist|criticalPoliticalEconomy,targeted,pure,16,1136,0.00088,0.013204,0.005282,0.018486,0.005282,0,0,0.109375,v21_rs_rev_04,v21_rs_rev_04,0.333333,0.47619,restraint,0.355556,0,0.017606,0.017857,0.026786,32,0,19
